public bathroom,16
cafe,16
beauty salon,16
insurance_agency,16
convenience store,14
department store,14
hardware_store,16
electrician,14
pet store,15
meal delivery,16
meal takeaway,16
movie theater,16
plumber,16
storage,14
accounting,14
art gallery,16
bakery,16
book store,16
car repair,16
florist,16
furniture store,16
jewelry store,16
travel agency,16
veterinary care,15
car dealer,16
lawyer,16
moving company,14
shopping_mall,16
drugstore,16
